ts,DE_load_actual_entsoe_transparency,DE_wind_generation_actual,DE_wind_onshore_generation_actual,DE_wind_offshore_generation_actual,DE_solar_generation_actual,DE_price_day_ahead,DE_renew_generation_actual,DE_residual_load,DE_renew_share,hour,dayofweek,month,is_weekend,load_lag_24h,price_lag_24h,load_diff_24h,price_diff_24h,price_diff_1h
2018-01-31,65509.375,29399.0,25518.958333333332,3880.0833333333335,1287.8333333333333,31.291666666666668,30686.833333333332,34822.541666666664,0.4652955076997915,11.5,2,1,0,64000.166666666664,34.833333333333336,1509.2083333333333,-3.5416666666666665,-0.375
2018-02-01,65081.125,21756.208333333332,18029.166666666668,3726.9166666666665,1358.125,33.416666666666664,23114.333333333332,41966.791666666664,0.360384663179457,11.5,3,2,0,65509.375,31.291666666666668,-428.25,2.125,0.2916666666666667
2018-02-02,63376.041666666664,14627.708333333334,12382.958333333334,2244.75,1586.25,41.375,16213.958333333334,47162.083333333336,0.2579684360093734,11.5,4,2,0,65081.125,33.416666666666664,-1705.0833333333333,7.958333333333333,0.20833333333333334
2018-02-03,53671.416666666664,4676.166666666667,3467.5416666666665,1208.4583333333333,1045.75,38.708333333333336,5721.916666666667,47949.5,0.10803839327541735,11.5,5,2,1,63376.041666666664,41.375,-9704.625,-2.6666666666666665,-0.08333333333333333
2018-02-04,50499.041666666664,10517.375,6615.375,3902.125,1091.2083333333333,33.666666666666664,11608.583333333334,38890.458333333336,0.22846611128259345,11.5,6,2,1,53671.416666666664,38.708333333333336,-3172.375,-5.041666666666667,0.0
2018-02-05,63101.875,8450.833333333334,7121.791666666667,1329.0416666666667,2220.9166666666665,47.083333333333336,10671.75,52430.125,0.1702457687344665,11.5,0,2,0,50499.041666666664,33.666666666666664,12602.833333333334,13.416666666666666,0.20833333333333334
2018-02-06,64142.666666666664,3891.0,3709.3333333333335,181.45833333333334,2770.5,50.333333333333336,6661.5,57481.166666666664,0.10304131985775582,11.5,1,2,0,63101.875,47.083333333333336,1040.7916666666667,3.25,-0.08333333333333333
2018-02-07,65029.833333333336,2352.25,2020.3333333333333,331.875,2330.7083333333335,48.708333333333336,4682.958333333333,60346.875,0.069953447680719,11.5,2,2,0,64142.666666666664,50.333333333333336,887.1666666666666,-1.625,0.041666666666666664
2018-02-08,64845.958333333336,3827.4583333333335,1552.3333333333333,2275.1666666666665,2155.0416666666665,48.125,5982.5,58863.458333333336,0.09101261094182479,11.5,3,2,0,65029.833333333336,48.708333333333336,-183.875,-0.5833333333333334,-0.16666666666666666
2018-02-09,64666.208333333336,8710.083333333334,5365.75,3344.375,1764.7916666666667,41.666666666666664,10474.875,54191.333333333336,0.1597982931539397,11.5,4,2,0,64845.958333333336,48.125,-179.75,-6.458333333333333,0.125
2018-02-10,55261.541666666664,7129.416666666667,4913.541666666667,2215.9166666666665,1017.7916666666666,37.666666666666664,8147.208333333333,47114.333333333336,0.14807345872879776,11.5,5,2,1,64666.208333333336,41.666666666666664,-9404.666666666666,-4.0,-0.5833333333333334
2018-02-11,51661.0,26059.125,21957.75,4101.208333333333,1188.1666666666667,15.125,27247.291666666668,24413.708333333332,0.5299027994599949,11.5,6,2,1,55261.541666666664,37.666666666666664,-3600.5416666666665,-22.541666666666668,0.125
2018-02-12,62609.5,19329.583333333332,15459.333333333334,3870.375,1974.1666666666667,34.625,21303.75,41305.75,0.34696142278215897,11.5,0,2,0,51661.0,15.125,10948.5,19.5,0.2916666666666667
2018-02-13,63196.416666666664,10793.916666666666,7965.791666666667,2828.2083333333335,4069.7916666666665,40.125,14863.708333333334,48332.708333333336,0.23444177097298002,11.5,1,2,0,62609.5,34.625,586.9166666666666,5.5,0.041666666666666664
2018-02-14,64454.083333333336,13566.625,10382.458333333334,3184.0416666666665,4729.625,39.375,18296.25,46157.833333333336,0.27972013822819963,11.5,2,2,0,63196.416666666664,40.125,1257.6666666666667,-0.75,-0.25
2018-02-15,66278.83333333333,21096.625,17326.375,3770.3333333333335,1280.9583333333333,34.125,22377.583333333332,43901.25,0.34110736662352364,11.5,3,2,0,64454.083333333336,39.375,1824.75,-5.25,0.125
2018-02-16,63243.625,13675.041666666666,11150.875,2524.2083333333335,2987.5833333333335,38.625,16662.625,46581.0,0.2605955498089157,11.5,4,2,0,66278.83333333333,34.125,-3035.2083333333335,4.5,0.25
2018-02-17,54870.666666666664,3018.375,2735.7916666666665,282.7083333333333,1435.9583333333333,39.583333333333336,4454.333333333333,50416.333333333336,0.08084670545870885,11.5,5,2,1,63243.625,38.625,-8372.958333333334,0.9583333333333334,-0.041666666666666664
2018-02-18,50511.291666666664,5241.416666666667,4049.5,1191.9583333333333,2484.8333333333335,34.458333333333336,7726.25,42785.041666666664,0.15077583342351272,11.5,6,2,1,54870.666666666664,39.583333333333336,-4359.375,-5.125,-0.08333333333333333
2018-02-19,62579.916666666664,2489.125,2215.875,273.1666666666667,2454.9583333333335,44.041666666666664,4944.083333333333,57635.833333333336,0.08035954790995374,11.5,0,2,0,50511.291666666664,34.458333333333336,12068.625,9.583333333333334,0.25
2018-02-20,63695.916666666664,4558.416666666667,4160.625,397.7916666666667,2743.125,48.125,7301.541666666667,56394.375,0.11037951039854771,11.5,1,2,0,62579.916666666664,44.041666666666664,1116.0,4.083333333333333,0.0
2018-02-21,63463.291666666664,6377.75,6250.375,127.45833333333333,3821.875,48.083333333333336,10199.625,53263.666666666664,0.15883155948678832,11.5,2,2,0,63695.916666666664,48.125,-232.625,-0.041666666666666664,-0.041666666666666664
2018-02-22,63889.625,10883.083333333334,10526.541666666666,356.5833333333333,3695.0416666666665,45.708333333333336,14578.125,49311.5,0.2254502478866921,11.5,3,2,0,63463.291666666664,48.083333333333336,426.3333333333333,-2.375,-0.041666666666666664
2018-02-23,63653.75,15013.75,13102.833333333334,1910.7916666666667,4402.625,43.208333333333336,19416.375,44237.375,0.3012888394743934,11.5,4,2,0,63889.625,45.708333333333336,-235.875,-2.5,0.0
2018-02-24,55594.583333333336,24384.083333333332,20279.333333333332,4104.916666666667,4580.541666666667,25.291666666666668,28964.625,26629.958333333332,0.5137900216784147,11.5,5,2,1,63653.75,43.208333333333336,-8059.166666666667,-17.916666666666668,-0.375
2018-02-25,51973.666666666664,14615.916666666666,11765.541666666666,2850.5,5086.958333333333,34.083333333333336,19702.875,32270.791666666668,0.378143733942107,11.5,6,2,1,55594.583333333336,25.291666666666668,-3620.9166666666665,8.791666666666666,0.375
2018-02-26,65844.25,16593.833333333332,12962.125,3631.7916666666665,3401.4583333333335,51.083333333333336,19995.291666666668,45848.958333333336,0.3010124611259864,11.5,0,2,0,51973.666666666664,34.083333333333336,13870.583333333334,17.0,0.08333333333333333
2018-02-27,67483.25,14067.25,10323.75,3743.4583333333335,4081.7916666666665,50.083333333333336,18149.041666666668,49334.208333333336,0.2668256908990036,11.5,1,2,0,65844.25,51.083333333333336,1639.0,-1.0,-0.16666666666666666
2018-02-28,68084.45833333333,23817.166666666668,19565.333333333332,4251.75,4510.5,38.0,28327.666666666668,39756.791666666664,0.41188240034433926,11.5,2,2,0,67483.25,50.083333333333336,601.2083333333334,-12.083333333333334,-0.25
2018-03-01,67453.41666666667,30332.333333333332,26199.416666666668,4133.041666666667,4603.375,32.75,34935.708333333336,32517.708333333332,0.516450004543358,11.5,3,3,0,68084.45833333333,38.0,-631.0416666666666,-5.25,0.125
2018-03-02,66874.20833333333,22025.916666666668,17934.333333333332,4091.5416666666665,4253.75,42.083333333333336,26279.666666666668,40594.541666666664,0.3915227024050143,11.5,4,3,0,67453.41666666667,32.75,-579.2083333333334,9.333333333333334,0.20833333333333334
2018-03-03,57006.416666666664,17760.875,13607.958333333334,4153.041666666667,3210.0833333333335,33.833333333333336,20970.958333333332,36035.458333333336,0.3660691616729237,11.5,5,3,1,66874.20833333333,42.083333333333336,-9867.791666666666,-8.25,-0.375
2018-03-04,51348.041666666664,16975.333333333332,13066.708333333334,3908.625,4185.708333333333,32.041666666666664,21161.041666666668,30187.0,0.4106429466266924,11.5,6,3,1,57006.416666666664,33.833333333333336,-5658.375,-1.7916666666666667,0.16666666666666666
2018-03-05,61442.291666666664,12241.875,9188.166666666666,3053.7083333333335,4353.708333333333,50.5,16595.583333333332,44846.708333333336,0.2741838943467921,11.5,0,3,0,51348.041666666664,32.041666666666664,10094.25,18.458333333333332,0.20833333333333334
2018-03-06,62188.0,5745.5,4406.75,1338.6666666666667,3186.7083333333335,47.666666666666664,8932.208333333334,53255.791666666664,0.1413795349308578,11.5,1,3,0,61442.291666666664,50.5,745.7083333333334,-2.8333333333333335,0.125
2018-03-07,63162.958333333336,6702.875,6215.791666666667,487.2083333333333,2371.7083333333335,48.833333333333336,9074.583333333334,54088.375,0.14122808817986254,11.5,2,3,0,62188.0,47.666666666666664,974.9583333333334,1.1666666666666667,-0.25
2018-03-08,63797.833333333336,20123.0,18554.708333333332,1568.4583333333333,3886.75,35.333333333333336,24009.75,39788.083333333336,0.37261789546704804,11.5,3,3,0,63162.958333333336,48.833333333333336,634.875,-13.5,-0.5416666666666666
2018-03-09,63040.041666666664,14892.25,13394.166666666666,1498.125,2989.6666666666665,37.75,17881.916666666668,45158.125,0.2873388400489809,11.5,4,3,0,63797.833333333336,35.333333333333336,-757.7916666666666,2.4166666666666665,0.5416666666666666
2018-03-10,52786.791666666664,12317.458333333334,9497.166666666666,2820.2916666666665,2334.9166666666665,32.958333333333336,14652.375,38134.416666666664,0.27504998245827494,11.5,5,3,1,63040.041666666664,37.75,-10253.25,-4.791666666666667,-0.4583333333333333
2018-03-11,47832.083333333336,10162.041666666666,7750.208333333333,2411.8333333333335,3511.9583333333335,20.333333333333332,13674.0,34158.083333333336,0.28205745751849787,11.5,6,3,1,52786.791666666664,32.958333333333336,-4954.708333333333,-12.625,-0.041666666666666664
2018-03-12,60840.291666666664,8569.625,8381.041666666666,188.58333333333334,2058.2916666666665,35.416666666666664,10627.916666666666,50212.375,0.17137924305868477,11.5,0,3,0,47832.083333333336,20.333333333333332,13008.208333333334,15.083333333333334,0.2916666666666667
2018-03-13,63283.125,17777.208333333332,16341.833333333334,1435.4583333333333,2180.7083333333335,39.166666666666664,19957.916666666668,43325.208333333336,0.31608058935472677,11.5,1,3,0,60840.291666666664,35.416666666666664,2442.8333333333335,3.75,0.25
